"cond_id","K","dist","beta_x","J","n_j","ICC","N_total","method","n_ok","n_total","conv_rate","mean_bx","median_bx","bias","bias_mcse","rel_bias","rmse","mae","emp_se","mean_model_se","median_model_se","se_ratio","mean_ci_width","coverage","cov_mcse","rej_rate","rej_mcse","rel_efficiency"
584,5,"polarized",0.2,20,10,0.3,200,"Oracle",1000,1000,1,0.197797578716899,0.2002343282969,-0.00220242128310114,0.00236093440056742,-0.0110121064155057,0.0746544566120946,0.059489642494284,0.0746593011203738,0.073897389927759,0.0739028141571319,0.989794825545095,0.291572013764495,0.946,0.00714730718522718,0.745,0.0137831418769452,1
584,5,"polarized",0.2,20,10,0.3,200,"Naive",1000,1000,1,0.18781733920764,0.186310568937115,-0.0121826607923601,0.00237304423485774,-0.0609133039618007,0.0759876623250951,0.0620298714567123,0.07504224770482,0.0739192030411032,0.0738143137219217,0.985034501256754,0.29165792041519,0.95,0.00689202437604511,0.689,0.0146382717559144,1.01785835398854
584,5,"polarized",0.2,20,10,0.3,200,"Dummy",1000,1000,1,0.22927113642299,0.227348825163971,0.0292711364229898,0.00213075491612554,0.146355682114949,0.0734327980099753,0.058483660838845,0.0673803867055774,0.0733305007504092,0.0731991227027946,1.08830632081159,0.289335623850433,0.946,0.00714730718522718,0.887,0.0100115433375679,0.983635824871554
584,5,"polarized",0.2,20,10,0.3,200,"Isotonic",1000,1000,1,0.218995038627623,0.215924505961294,0.0189950386276228,0.00224678244516207,0.0949751931381138,0.0735105082079931,0.0589082549137595,0.0710494993359449,0.0734209096649183,0.0732441215305587,1.03337687599684,0.28969347362936,0.949,0.00695693898205238,0.848,0.0113532374237483,0.984676756673142
584,5,"polarized",0.2,20,10,0.3,200,"PenOrd",1000,1000,1,0.228402902710152,0.226292171316455,0.0284029027101525,0.00214232190365227,0.142014513550762,0.0734280496683099,0.0585112291226527,0.0677461669680895,0.0733276719686542,0.0732113434800971,1.08238849886804,0.289324836205386,0.946,0.00714730718522718,0.883,0.010164201887015,0.983572220608916
584,5,"polarized",0.2,20,10,0.3,200,"PolyCor",1000,1000,1,0.198499101740529,0.1969066367078,-0.00150089825947081,0.00250800672076949,-0.00750449129735403,0.0792846789064493,0.0646759257703941,0.079310136246415,0.0781232205020926,0.0780123657975828,0.985034501256754,0.308245423250949,0.951,0.00682634602111555,0.689,0.0146382717559144,1.06202204803945
584,5,"polarized",0.2,20,10,0.3,200,"LCP",1000,1000,1,0.1974442724898,0.198189483261137,-0.00255572751019986,0.00249378194337635,-0.0127786375509993,0.0788622924840205,0.0642145416995808,0.0788603092887031,0.0774991225028027,0.0773535880053916,0.982739266455104,0.305783026525287,0.951,0.00682634602111555,0.692,0.0145991780590552,1.0563641618047
584,5,"polarized",0.2,20,10,0.3,200,"IC",1000,1000,1,0.223619452286589,0.220484080648147,0.023619452286589,0.0022942266772015,0.118097261432945,0.0762633011130196,0.0609977084820947,0.0725498176867663,0.0749713039552909,0.0747907826703156,1.03337687599684,0.295810792381238,0.944,0.00727076337120113,0.848,0.0113532374237483,1.02155054867367
585,7,"polarized",0.2,20,10,0.3,200,"Oracle",1000,1000,1,0.199927720733941,0.197424686877076,-7.22792660592941e-05,0.0023553473631823,-0.000361396330296471,0.0744454079466348,0.0596222573399642,0.0744826234852789,0.0741588433882118,0.0739785380645487,0.995652944513546,0.292604725924857,0.952,0.00675988165576884,0.763,0.0134473417447464,1
585,7,"polarized",0.2,20,10,0.3,200,"Naive",1000,1000,1,0.191675425918211,0.190123829702705,-0.00832457408178902,0.00239120118613579,-0.0416228704089451,0.0760356745423346,0.0607073253688358,0.0756164209188534,0.0738511541217383,0.0738836776208893,0.976654980814161,0.291390243389923,0.943,0.00733150734842434,0.725,0.0141200212464429,1.02136151361867
